dispatching_zone_id,zone_tier,date,month,day_of_week,is_weekend,active_vehicles,trips,trips_per_vehicle,event_label,daily_multiplier
Z01_CP_NewDelhi,mega,2023-01-01,1,Sunday,1,3586,23928,6.67,normal,0.9584
Z02_Gurugram_Cyber,mega,2023-01-01,1,Sunday,1,2904,27684,9.53,normal,0.9584
Z03_Noida_Sector18,high,2023-01-01,1,Sunday,1,1843,13470,7.31,normal,0.9584
Z04_Dwarka_Airport,high,2023-01-01,1,Sunday,1,1497,11839,7.91,normal,0.9584
Z05_Lajpat_SouthDelhi,medium,2023-01-01,1,Sunday,1,903,7942,8.8,normal,0.9584
Z06_Rohini_NorthWest,medium,2023-01-01,1,Sunday,1,728,4726,6.49,normal,0.9584
Z07_Faridabad,low,2023-01-01,1,Sunday,1,400,3106,7.76,normal,0.9584
Z08_Ghaziabad,low,2023-01-01,1,Sunday,1,368,3084,8.38,normal,0.9584
Z01_CP_NewDelhi,mega,2023-01-02,1,Monday,0,3296,23578,7.15,normal,0.8564
Z02_Gurugram_Cyber,mega,2023-01-02,1,Monday,0,2801,26669,9.52,normal,0.8564
Z03_Noida_Sector18,high,2023-01-02,1,Monday,0,1553,13205,8.5,normal,0.8564
Z04_Dwarka_Airport,high,2023-01-02,1,Monday,0,1330,11663,8.77,normal,0.8564
Z05_Lajpat_SouthDelhi,medium,2023-01-02,1,Monday,0,795,8815,11.09,normal,0.8564
Z06_Rohini_NorthWest,medium,2023-01-02,1,Monday,0,705,7387,10.48,normal,0.8564
Z07_Faridabad,low,2023-01-02,1,Monday,0,378,3591,9.5,normal,0.8564
Z08_Ghaziabad,low,2023-01-02,1,Monday,0,309,2773,8.97,normal,0.8564
Z01_CP_NewDelhi,mega,2023-01-03,1,Tuesday,0,3145,21875,6.96,normal,0.8755
Z02_Gurugram_Cyber,mega,2023-01-03,1,Tuesday,0,2912,18668,6.41,normal,0.8755
Z03_Noida_Sector18,high,2023-01-03,1,Tuesday,0,1619,12264,7.58,normal,0.8755
Z04_Dwarka_Airport,high,2023-01-03,1,Tuesday,0,1329,12631,9.5,normal,0.8755
Z05_Lajpat_SouthDelhi,medium,2023-01-03,1,Tuesday,0,858,8253,9.62,normal,0.8755
Z06_Rohini_NorthWest,medium,2023-01-03,1,Tuesday,0,705,6169,8.75,normal,0.8755
Z07_Faridabad,low,2023-01-03,1,Tuesday,0,361,2204,6.11,normal,0.8755
Z08_Ghaziabad,low,2023-01-03,1,Tuesday,0,325,3079,9.47,normal,0.8755
Z01_CP_NewDelhi,mega,2023-01-04,1,Wednesday,0,3492,32995,9.45,normal,0.8946
Z02_Gurugram_Cyber,mega,2023-01-04,1,Wednesday,0,2731,25216,9.23,normal,0.8946
Z03_Noida_Sector18,high,2023-01-04,1,Wednesday,0,1752,18013,10.28,normal,0.8946
Z04_Dwarka_Airport,high,2023-01-04,1,Wednesday,0,1435,12594,8.78,normal,0.8946
Z05_Lajpat_SouthDelhi,medium,2023-01-04,1,Wednesday,0,801,5454,6.81,normal,0.8946
Z06_Rohini_NorthWest,medium,2023-01-04,1,Wednesday,0,731,6770,9.26,normal,0.8946
Z07_Faridabad,low,2023-01-04,1,Wednesday,0,371,2565,6.91,normal,0.8946
Z08_Ghaziabad,low,2023-01-04,1,Wednesday,0,331,2898,8.76,normal,0.8946
Z01_CP_NewDelhi,mega,2023-01-05,1,Thursday,0,3613,35327,9.78,normal,0.9043
Z02_Gurugram_Cyber,mega,2023-01-05,1,Thursday,0,2999,27800,9.27,normal,0.9043
Z03_Noida_Sector18,high,2023-01-05,1,Thursday,0,1799,19699,10.95,normal,0.9043
Z04_Dwarka_Airport,high,2023-01-05,1,Thursday,0,1415,11364,8.03,normal,0.9043
Z05_Lajpat_SouthDelhi,medium,2023-01-05,1,Thursday,0,831,8934,10.75,normal,0.9043
Z06_Rohini_NorthWest,medium,2023-01-05,1,Thursday,0,663,5414,8.17,normal,0.9043
Z07_Faridabad,low,2023-01-05,1,Thursday,0,376,2919,7.76,normal,0.9043
Z08_Ghaziabad,low,2023-01-05,1,Thursday,0,361,2839,7.86,normal,0.9043
Z01_CP_NewDelhi,mega,2023-01-06,1,Friday,0,3836,30931,8.06,normal,1.0074
Z02_Gurugram_Cyber,mega,2023-01-06,1,Friday,0,3402,32928,9.68,normal,1.0074
Z03_Noida_Sector18,high,2023-01-06,1,Friday,0,1913,12520,6.54,normal,1.0074
Z04_Dwarka_Airport,high,2023-01-06,1,Friday,0,1632,11934,7.31,normal,1.0074
Z05_Lajpat_SouthDelhi,medium,2023-01-06,1,Friday,0,905,7783,8.6,normal,1.0074
Z06_Rohini_NorthWest,medium,2023-01-06,1,Friday,0,752,6145,8.17,normal,1.0074
Z07_Faridabad,low,2023-01-06,1,Friday,0,447,4431,9.91,normal,1.0074
Z08_Ghaziabad,low,2023-01-06,1,Friday,0,370,2754,7.44,normal,1.0074
Z01_CP_NewDelhi,mega,2023-01-07,1,Saturday,1,1853,19010,10.26,Delhi_Winter_Fog_Severe,0.4955
Z02_Gurugram_Cyber,mega,2023-01-07,1,Saturday,1,1507,16355,10.85,Delhi_Winter_Fog_Severe,0.4955
Z03_Noida_Sector18,high,2023-01-07,1,Saturday,1,921,8775,9.53,Delhi_Winter_Fog_Severe,0.4955
Z04_Dwarka_Airport,high,2023-01-07,1,Saturday,1,794,7166,9.03,Delhi_Winter_Fog_Severe,0.4955
Z05_Lajpat_SouthDelhi,medium,2023-01-07,1,Saturday,1,478,4271,8.94,Delhi_Winter_Fog_Severe,0.4955
Z06_Rohini_NorthWest,medium,2023-01-07,1,Saturday,1,406,2787,6.86,Delhi_Winter_Fog_Severe,0.4955
Z07_Faridabad,low,2023-01-07,1,Saturday,1,204,1699,8.33,Delhi_Winter_Fog_Severe,0.4955
Z08_Ghaziabad,low,2023-01-07,1,Saturday,1,195,1807,9.27,Delhi_Winter_Fog_Severe,0.4955
Z01_CP_NewDelhi,mega,2023-01-08,1,Sunday,1,3667,32104,8.75,normal,0.9617
Z02_Gurugram_Cyber,mega,2023-01-08,1,Sunday,1,3225,27324,8.47,normal,0.9617
Z03_Noida_Sector18,high,2023-01-08,1,Sunday,1,1791,19447,10.86,normal,0.9617
Z04_Dwarka_Airport,high,2023-01-08,1,Sunday,1,1610,12681,7.88,normal,0.9617
Z05_Lajpat_SouthDelhi,medium,2023-01-08,1,Sunday,1,929,7348,7.91,normal,0.9617
Z06_Rohini_NorthWest,medium,2023-01-08,1,Sunday,1,714,7017,9.83,normal,0.9617
Z07_Faridabad,low,2023-01-08,1,Sunday,1,379,3427,9.04,normal,0.9617
